municipio;taxa_anal
Nova Candelária;2,6
Nova Esperança do Sul;5,4
Nova Hartz;3,3
Nova Pádua;2,9
Nova Palma;2,5
Nova Petrópolis;2,5
Nova Prata;3
Nova Ramada;6,1
Nova Roma do Sul;5,1
Nova Santa Rita;4,1
Novo Barreiro;9,2
Novo Cabrais;7,5
Novo Hamburgo;3,2
Novo Machado;6,7
Novo Tiradentes;13
Novo Xingu;5,5
Osório;4,3
Paim Filho;7,8
Palmares do Sul;7,2
Palmeira das Missões;8,8
Palmitinho;8,1
Panambi;3
Pantano Grande;10,8
Paraí;2,8
Paraíso do Sul;6,3
Pareci Novo;2,1
Parobé;4,6
Passa Sete;12,6
Passo do Sobrado;5,8
Passo Fundo;3,3
Paulo Bento;4,1
Paverama;5,9
Pedras Altas;10,8
Pedro Osório;8,9
Pejuçara;4,7
Pelotas;4,2
Picada Café;2,1
Pinhal;8,9
Pinhal da Serra;8,3
Pinhal Grande;7,2
Pinheirinho do Vale;9,9
Pinheiro Machado;9,1
Pirapó;12,1
Piratini;11,5
Planalto;11,1
Poço das Antas;2,6
Pontão;5,3
Ponte Preta;5,8
Portão;4,5
Porto Alegre;2,2
Porto Lucena;8
Porto Mauá;6,8
Porto Vera Cruz;7,5
Porto Xavier;11
Pouso Novo;9,1
Presidente Lucena;3
Progresso;8,5
Protásio Alves;6,5
Putinga;8,7
Quaraí;4,6
Quatro Irmãos;9,9
Quevedos;10,6
Quinze de Novembro;4,4
Redentora;15,4
Relvado;3,8
Restinga Seca;6,7
Rio dos Índios;14,5
Rio Grande;4,4
Rio Pardo;7,5
Riozinho;8,2
Roca Sales;2,6
Rodeio Bonito;8,8
Rolador;7
Rolante;6,4
Ronda Alta;7,9
Rondinha;3,4
Roque Gonzales;7,3
Rosário do Sul;7,5
Sagrada Família;14,7
Saldanha Marinho;4,8
Salto do Jacuí;8,5
Salvador das Missões;1,1
Salvador do Sul;2,1
Sananduva;5,1
Sant'Ana do Livramento;3,9
Santa Bárbara do Sul;7,8
Santa Cecília do Sul;5,4
Santa Clara do Sul;3,8
Santa Cruz do Sul;2,8
Santa Margarida do Sul;12,7
Santa Maria;3,2
Santa Maria do Herval;1,3
Santa Rosa;3,4
Santa Tereza;3,2
Santa Vitória do Palmar;6,3
Santana da Boa Vista;14,2
Santiago;4,1
Santo Ângelo;4,1
Santo Antônio da Patrulha;8,6
Santo Antônio das Missões;9,6
Santo Antônio do Palma;6,4
Santo Antônio do Planalto;4
Santo Augusto;8,8
Santo Cristo;2,6
Santo Expedito do Sul;7,9
São Borja;6,6
São Domingos do Sul;3,3
São Francisco de Assis;8
São Francisco de Paula;6,3
São Gabriel;8
São Jerônimo;8,4
São João da Urtiga;8,1
São João do Polêsine;3,7
São Jorge;3,1
São José das Missões;10,4
São José do Herval;14,5
São José do Hortêncio;1,5
São José do Inhacorá;3,4
São José do Norte;16,9
São José do Ouro;5
São José do Sul;2,1
São José dos Ausentes;7
São Leopoldo;3
São Lourenço do Sul;4,8
São Luiz Gonzaga;6,4
São Marcos;3,4
São Martinho;6
São Martinho da Serra;8,4
São Miguel das Missões;9
São Nicolau;12,3
São Paulo das Missões;6,5
São Pedro da Serra;1,4
São Pedro das Missões;13,9
São Pedro do Butiá;2,8
São Pedro do Sul;6
São Sebastião do Caí;3,8
São Sepé;7,1
São Valentim;8,6
São Valentim do Sul;5,6
São Valério do Sul;11,6
São Vendelino;1,6
São Vicente do Sul;7,1
Sapiranga;3,5
Sapucaia do Sul;3,4
Sarandi;4,8
Seberi;8
Sede Nova;8,2
Segredo;9,4
Selbach;3,3
Senador Salgado Filho;5,5
Sentinela do Sul;7
Serafina Corrêa;3,1
Sério;11,2
Sertão;5,9
Sertão Santana;7
Sete de Setembro;4,7
Severiano de Almeida;6,5
Silveira Martins;5,3
Sinimbu;7,6
Sobradinho;6,5
Soledade;8,7
Tabaí;7,3
Tapejara;3,5
Tapera;4,3
Tapes;6,7
Taquara;4,4
Taquari;5,5
Taquaruçu do Sul;8,2
Tavares;14,3
Tenente Portela;7,8
Terra de Areia;8,3
Teutônia;1,7
Tio Hugo;5,7
Tiradentes do Sul;9,8
Toropi;5,8
Torres;5
Tramandaí;3,8
Travesseiro;4,3
Três Arroios;4,6
Três Cachoeiras;6,1
Três Coroas;5,4
Três de Maio;3,8
Três Forquilhas;15,5
Três Palmeiras;11,8
Três Passos;4,8
Trindade do Sul;12,2
Triunfo;6,3
Tucunduva;4,6
Tunas;11,6
Tupanci do Sul;10
Tupanciretã;4,3
Tupandi;1,9
Tuparendi;5,4
Turuçu;7,5
Ubiretama;4,3
União da Serra;3,9
Unistalda;9,8
Uruguaiana;3,7
Vacaria;5,4
Vale do Sol;5,3
Vale Real;2,2
Vale Verde;10,3
Vanini;6,3
Venâncio Aires;4,9
Vera Cruz;4,7
Veranópolis;3
Vespasiano Correa;5,2
Viadutos;5,5
Viamão;3,8
Vicente Dutra;11,2
Victor Graeff;2,8
Vila Flores;1,1
Vila Lângaro;5,4
Vila Maria;4,2
Vila Nova do Sul;7,9
Vista Alegre;7,7
Vista Alegre do Prata;2,1
Vista Gaúcha;6,7
Vitória das Missões;10,3
Westfalia;1,7
Xangri-lá;3
